,Asset,RVRF,cantidad,Run Fondo
1333,Otro,Otro,11.941000000000031,9291
1334,Otro,Otro,5.629999999999981,9294
1335,Otro,Otro,0.4890000000000043,9310
1336,Otro,Otro,12.188999999999993,9328
1337,Otro,Otro,5.471000000000004,9345
1338,Otro,Otro,3.7510000000000048,9352
1339,Otro,Otro,0.5279999999999774,9362
1340,Otro,Otro,3.3789999999999907,9365
1341,Otro,Otro,0.6829999999999927,9371
1342,Otro,Otro,3.3380000000000223,9372
1343,Otro,Otro,0.6999999999999886,9399
1344,Otro,Otro,11.411000000000001,9405
1345,Otro,Otro,3.47199999999998,9412
1346,Otro,Otro,6.03400000000002,9414
1347,Otro,Otro,0.679000000000002,9421
1348,Otro,Otro,7.169000000000011,9422
1349,Otro,Otro,17.285000000000082,9426
1350,Otro,Otro,5.219000000000008,9428
1351,Otro,Otro,2.0779999999999887,9429
1352,Otro,Otro,1.7409999999999854,9430
1353,Otro,Otro,2.9879999999999995,9431
1354,Otro,Otro,2.2520000000000095,9432
1355,Otro,Otro,17.466000000000008,9440
1356,Otro,Otro,0.5209999999999866,9445
1357,Otro,Otro,0.036000000000001364,9447
1358,Otro,Otro,5.882000000000019,9449
1359,Otro,Otro,2.062000000000012,9450
1360,Otro,Otro,1.4989999999999952,9456
1361,Otro,Otro,12.169999999999987,9457
1362,Otro,Otro,3.539999999999992,9473
1363,Otro,Otro,3.609000000000009,9474
1364,Otro,Otro,18.077000000000012,9484
1365,Otro,Otro,0.028000000000005798,9487
1366,Otro,Otro,0.5719999999999885,9489
1367,Otro,Otro,0.38999999999998636,9490
1368,Otro,Otro,0.632000000000005,9511
1369,Otro,Otro,0.2219999999999942,9519
1370,Otro,Otro,0.277000000000001,9521
1371,Otro,Otro,0.0,9533
1372,Otro,Otro,3.867999999999995,9535
1373,Otro,Otro,2.0379999999999967,9537
1374,Otro,Otro,0.06900000000004525,9539
1375,Otro,Otro,13.224000000000004,9541
1376,Otro,Otro,0.18200000000000216,9547
1377,Otro,Otro,7.451000000000022,9548
1378,Otro,Otro,0.9649999999999892,9557
1379,Otro,Otro,3.695999999999998,9561
1380,Otro,Otro,0.03799999999995407,9564
1381,Otro,Otro,8.930000000000007,9568
1382,Otro,Otro,4.513000000000005,9569
1383,Otro,Otro,20.430999999999997,9570
1384,Otro,Otro,0.6250000000000142,9575
1385,Otro,Otro,7.884999999999991,9576
1386,Otro,Otro,0.033999999999991815,9577
1387,Otro,Otro,1.3689999999999998,9585
1388,Otro,Otro,12.875999999999976,9586
1389,Otro,Otro,12.195000000000022,9587
1390,Otro,Otro,3.146000000000001,9593
1391,Otro,Otro,2.9140000000000015,9594
1392,Otro,Otro,1.2780000000000058,9595
1393,Otro,Otro,3.793999999999997,9596
1394,Otro,Otro,3.951999999999913,9597
1395,Otro,Otro,12.475999999999999,9607
1396,Otro,Otro,11.241,9608
1397,Otro,Otro,12.244,9609
1398,Otro,Otro,8.721999999999994,9610
1399,Otro,Otro,5.194999999999993,9625
1400,Otro,Otro,0.014999999999986358,9630
1401,Otro,Otro,13.015,9632
1402,Otro,Otro,0.054000000000002046,9646
1403,Otro,Otro,0.01300000000000523,9647
1404,Otro,Otro,24.342000000000013,9648
1405,Otro,Otro,0.018000000000000682,9649
